"产物中文名","产物ID","内容类型","分类证据","分类置信度","是否可食用","饥饿值","饱和度","效果","有效配方数","无效/JAR候选配方数","有效配方ID列表","未加载配方ID列表","序列化类型列表","来源模组","建议厨师档次","建议依据","T3证据","冲突说明","人工复审备注"
"Golden Egg","mynethersdelight:golden_egg","RAW_FOOD","edible_rawish_token","MEDIUM","是","4","8","effect.minecraft.resistance 600tick 1级 概率1；effect.minecraft.absorption 600tick 1级 概率1","1","0","mynethersdelight:crafting/golden_egg","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=RAW_FOOD","","",""
"Golden Trophy","mynethersdelight:golden_trophy","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","mynethersdelight:crafting/golden_trophy","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Hoglin Sausage","mynethersdelight:hoglin_sausage","DISH","dish_token;edible=true;type=farmersdelight:cutting","HIGH","是","2","1","effect.minecraft.nausea 300tick 1级 概率0.4000000059604645","1","0","mynethersdelight:cutting/hoglin_sausage","","farmersdelight:cutting","My Nether's Delight","T2","正餐/甜点名称","","",""
"Hoglin Trophy","mynethersdelight:hoglin_trophy","NON_FOOD","decor_or_storage_token","HIGH","否","","","","4","0","mynethersdelight:crafting/hoglin_trophy | mynethersdelight:crafting/hoglin_trophy_cure | mynethersdelight:crafting/skoglin_trophy | mynethersdelight:cutting/hoglin_trophy","","minecraft:crafting_shaped | minecraft:crafting_shapeless | farmersdelight:cutting","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Hot Cream","mynethersdelight:hot_cream","INGREDIENT","manual_override;奶油酱料","HIGH","是","1","16","effect.mynethersdelight.g_pungent 600tick 3级 概率1；effect.minecraft.fire_resistance 600tick 1级 概率1","2","0","mynethersdelight:cooking/hotcream | mynethersdelight:crafting/hotcream_bucket","","farmersdelight:cooking | minecraft:crafting_shapeless","My Nether's Delight","不进入厨师","奶油酱料","","","保持INGREDIENT"
"Hot Cream Cone","mynethersdelight:hot_cream_cone","DISH","manual_override;FOOD nutrition=4 saturation=8 effects=g_pungent+fire_resistance; recipe id=mynethersdelight:crafting/hotcream_cone (hot_cream+powder_cannon×3)×3; HotCreamConeItem; 复合甜品","HIGH","是","4","8","effect.mynethersdelight.g_pungent 200tick 1级 概率1；effect.minecraft.fire_resistance 200tick 1级 概率1","1","0","mynethersdelight:crafting/hotcream_cone","","minecraft:crafting_shapeless","My Nether's Delight","T2","FOOD nutrition=4 saturation=8 effects=g_pungent+fire_resistance; recipe id=mynethersdelight:crafting/hotcream_cone (hot_cream+powder_cannon×3)×3; HotCreamConeItem; 复合甜品","","","My Nether's Delight;6A.3原REVIEW→DISH T2"
"Hot Wings","mynethersdelight:hot_wings","DISH","cooking_device=farmersdelight:cooking;food_component","HIGH","是","6","5.3999996","effect.mynethersdelight.b_pungent 1200tick 1级 概率1；effect.farmersdelight.nourishment 1200tick 1级 概率1","2","0","mynethersdelight:cooking/hot_wings | mynethersdelight:crafting/hot_wings_bucket_alt","","farmersdelight:cooking | minecraft:crafting_shapeless","My Nether's Delight","T2","设备或复杂度：type=farmersdelight:cooking;kinds=3","","",""
"Hot Wings Bucket","mynethersdelight:hot_wings_bucket","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","18","16.199999","effect.mynethersdelight.b_pungent 3600tick 1级 概率1；effect.farmersdelight.nourishment 3600tick 1级 概率1","1","0","mynethersdelight:crafting/hot_wings_bucket","","minecraft:crafting_shapeless","My Nether's Delight","COMMON","简单 DISH 兜底","","",""
"Hotdog","mynethersdelight:hotdog","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","8","7.2","","1","0","mynethersdelight:crafting/hotdog","","minecraft:crafting_shapeless","My Nether's Delight","COMMON","基础熟食或少量常见原料/单步合成","","",""
"Hotdog with Mixed Salad","mynethersdelight:hotdog_with_mixed_salad","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","10","10","effect.minecraft.regeneration 100tick 1级 概率1","1","0","mynethersdelight:crafting/hotdog_with_mixed_salad","","minecraft:crafting_shapeless","My Nether's Delight","T2","正餐/甜点名称","","",""
"Hotdog with Nether Salad","mynethersdelight:hotdog_with_nether_salad","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","10","10","effect.minecraft.nausea 240tick 1级 概率0.30000001192092896","1","0","mynethersdelight:crafting/hotdog_with_nether_salad","","minecraft:crafting_shapeless","My Nether's Delight","T2","正餐/甜点名称","","",""
"Leteos Compost","mynethersdelight:letios_compost","NON_FOOD","not_edible","MEDIUM","否","","","","2","0","mynethersdelight:crafting/letios_compost_from_bone_alt | mynethersdelight:crafting/letios_compost_from_rotten_flesh","","minecraft:crafting_shapeless","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Magma Cake","mynethersdelight:magma_cake_block","SERVING_DISH","manual_override;岩浆蛋糕方块；无FOOD","HIGH","否","","","","2","0","mynethersdelight:crafting/magma_cake | mynethersdelight:crafting/magma_cake_alt","","minecraft:crafting_shaped | minecraft:crafting_shapeless","My Nether's Delight","不进入厨师","岩浆蛋糕方块；无FOOD","","",""
"Magma Cake Slice","mynethersdelight:magma_cake_slice","DISH","dish_token;edible=true;type=farmersdelight:cutting","HIGH","是","2","4","effect.mynethersdelight.g_pungent 400tick 3级 概率1；effect.minecraft.speed 400tick 1级 概率1；effect.minecraft.fire_resistance 200tick 1级 概率1","1","0","mynethersdelight:cutting/magma_cake","","farmersdelight:cutting","My Nether's Delight","T2","正餐/甜点名称","","",""
"Minced Strider","mynethersdelight:minced_strider","INGREDIENT","manual_override;绞肉中间产物","HIGH","是","2","3","","1","0","mynethersdelight:cutting/minced_strider","","farmersdelight:cutting","My Nether's Delight","不进入厨师","绞肉中间产物","","","保持INGREDIENT"
"Nether Brick Cabinet","mynethersdelight:nether_bricks_cabinet","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","mynethersdelight:stonecutting/nether_bricks_cabinet","","minecraft:stonecutting","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Nether Stove","mynethersdelight:nether_bricks_soul_stove","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","2","0","mynethersdelight:crafting/soul_nethers_stove | mynethersdelight:crafting/soul_nethers_stove_alt0","","minecraft:crafting_shaped | minecraft:crafting_shapeless","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Nether Stove","mynethersdelight:nether_bricks_stove","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","2","0","mynethersdelight:crafting/nethers_stove | mynethersdelight:crafting/nethers_stove_alt0","","minecraft:crafting_shaped | minecraft:crafting_shapeless","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Nether Burger","mynethersdelight:nether_burger","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","12","18","","1","0","mynethersdelight:crafting/nether_burger","","minecraft:crafting_shapeless","My Nether's Delight","T2","正餐/甜点名称","","",""
"Pepper Powder","mynethersdelight:pepper_powder","INGREDIENT","ingredient_process=farmersdelight:cutting","MEDIUM","否","","","","1","0","mynethersdelight:cutting/bullet_pepper","","farmersdelight:cutting","My Nether's Delight","不进入厨师","内容类型=INGREDIENT","","",""
"Block of Powdery Cannon","mynethersdelight:powdery_block","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","mynethersdelight:crafting/block_of_powdery_cannon","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Button","mynethersdelight:powdery_button","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","mynethersdelight:crafting/powdery_button","","minecraft:crafting_shapeless","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Cabinet","mynethersdelight:powdery_cabinet","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","mynethersdelight:crafting/block_of_powdery_cabinet","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Door","mynethersdelight:powdery_door","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","mynethersdelight:crafting/powdery_door","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Fence","mynethersdelight:powdery_fence","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","mynethersdelight:crafting/powdery_fence","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Fence Gate","mynethersdelight:powdery_fence_gate","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","mynethersdelight:crafting/powdery_fence_gate","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Hanging Sign","mynethersdelight:powdery_hanging_sign","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","mynethersdelight:crafting/powdery_hanging_sign","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Mosaic","mynethersdelight:powdery_mosaic","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","mynethersdelight:crafting/powdery_mosaic","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Mosaic Slab","mynethersdelight:powdery_mosaic_slab","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","mynethersdelight:crafting/powdery_mosaic_slab","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Mosaic Stairs","mynethersdelight:powdery_mosaic_stairs","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","mynethersdelight:crafting/powdery_mosaic_stairs","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Planks","mynethersdelight:powdery_planks","INGREDIENT","ingredient_process=farmersdelight:cutting","MEDIUM","否","","","","2","0","mynethersdelight:crafting/powdery_plank | mynethersdelight:salvaging/powdery_furniture","","minecraft:crafting_shapeless | farmersdelight:cutting","My Nether's Delight","不进入厨师","内容类型=INGREDIENT","","",""
"Powdery Pressure Plate","mynethersdelight:powdery_pressure_plate","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","mynethersdelight:crafting/powdery_pressure_plate","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Sign","mynethersdelight:powdery_sign","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","mynethersdelight:crafting/powdery_sign","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Slab","mynethersdelight:powdery_slab","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","mynethersdelight:crafting/powdery_slab","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Stairs","mynethersdelight:powdery_stairs","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","mynethersdelight:crafting/powdery_stairs","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Torch","mynethersdelight:powdery_torch","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","mynethersdelight:crafting/powdery_torch","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Powdery Trapdoor","mynethersdelight:powdery_trapdoor","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","mynethersdelight:crafting/powdery_trapdoor","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Raw Stuffed Hoglin","mynethersdelight:raw_stuffed_hoglin","INGREDIENT","manual_override;整盘生坯；无FOOD；需烹饪","HIGH","否","","","","1","0","mynethersdelight:crafting/raw_stuffed_hoglin","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","整盘生坯；无FOOD；需烹饪","","","生坯非SERVING_DISH"
"Red Loin on a Stick","mynethersdelight:red_loin_on_a_stick","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","10","14","","1","0","mynethersdelight:crafting/red_loin_on_a_stick","","minecraft:crafting_shapeless","My Nether's Delight","COMMON","简单 DISH 兜底","","",""
"Red Nether Brick Cabinet","mynethersdelight:red_nether_bricks_cabinet","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","mynethersdelight:stonecutting/red_nether_bricks_cabinet","","minecraft:stonecutting","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Stuffed Hoglin","mynethersdelight:roast_stuffed_hoglin","SERVING_DISH","manual_override;StuffedHoglinBlock.SERVINGS+useItemOn分食；无FOOD组件","HIGH","否","","","","1","0","mynethersdelight:cooking/roast_stuffed_hoglin","","farmersdelight:cooking","My Nether's Delight","不进入厨师","StuffedHoglinBlock.SERVINGS+useItemOn分食；无FOOD组件","","","javap:SERVINGS分食；防双算待6B"
"Roasted Sausage","mynethersdelight:roasted_sausage","DISH","dish_token;edible=true;type=minecraft:smelting","HIGH","是","4","2.8","","3","0","mynethersdelight:hoglin_sausage_cooking | mynethersdelight:hoglin_sausage_from_campfire_cooking | mynethersdelight:hoglin_sausage_from_smoking","","minecraft:smelting | minecraft:campfire_cooking | minecraft:smoking","My Nether's Delight","COMMON","基础熟食或少量常见原料/单步合成","","",""
"Rock Soup","mynethersdelight:rock_soup","DISH","dish_token;edible=true;type=farmersdelight:cooking","HIGH","是","7","10.5","effect.mynethersdelight.b_pungent 1200tick 3级 概率1；effect.farmersdelight.nourishment 3600tick 1级 概率1","2","0","mynethersdelight:cooking/rock_soup | mynethersdelight:crafting/rock_soup","","farmersdelight:cooking | minecraft:crafting_shapeless","My Nether's Delight","T2","正餐/甜点名称","","",""
"Sausage and Potatoes","mynethersdelight:sausage_and_potatoes","DISH","dish_token;edible=true;type=farmersdelight:cooking","HIGH","是","11","12.1","","1","0","mynethersdelight:cooking/sausage_and_potatoes","","farmersdelight:cooking","My Nether's Delight","T2","正餐/甜点名称","","",""
"Scotch Eggs","mynethersdelight:scotch_eggs","DISH","cooking_device=farmersdelight:cooking;food_component","HIGH","是","12","19.2","effect.farmersdelight.nourishment 3600tick 1级 概率1","1","0","mynethersdelight:cooking/scotch_eggs","","farmersdelight:cooking","My Nether's Delight","T2","设备或复杂度：type=farmersdelight:cooking;kinds=2","","",""
"Sizzling Pudding","mynethersdelight:sizzling_pudding","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","9","11.7","effect.mynethersdelight.b_pungent 100tick 1级 概率1","1","0","mynethersdelight:crafting/sizzling_pudding","","minecraft:crafting_shapeless","My Nether's Delight","T2","正餐/甜点名称","","",""
"Skoglin Trophy","mynethersdelight:skoglin_trophy","NON_FOOD","decor_or_storage_token","HIGH","否","","","","2","0","mynethersdelight:cutting/skoglin_trophy | mynethersdelight:cutting/skoglin_trophy_alt","","farmersdelight:cutting","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Slices of Bread","mynethersdelight:slices_of_bread","DISH","dish_token;edible=true;type=farmersdelight:cutting","HIGH","是","5","6","","1","0","mynethersdelight:cutting/slices_of_bread","","farmersdelight:cutting","My Nether's Delight","T2","正餐/甜点名称","","",""
"Spicy Cotton","mynethersdelight:spicy_cotton","DISH","manual_override;可食用成品；火焰抗性buff；非中间料","HIGH","是","3","13.5","effect.minecraft.fire_resistance 300tick 1级 概率1","1","0","mynethersdelight:crafting/spicy_cotton","","minecraft:crafting_shapeless","My Nether's Delight","COMMON","可食用成品；火焰抗性buff；非中间料","","","边界→COMMON小吃"
"Spicy Curry","mynethersdelight:spicy_curry","DISH","dish_token;edible=true;type=farmersdelight:cooking","HIGH","是","15","19.5","effect.mynethersdelight.b_pungent 6000tick 2级 概率1；effect.farmersdelight.nourishment 3600tick 1级 概率1","1","0","mynethersdelight:cooking/spicy_curry","","farmersdelight:cooking","My Nether's Delight","T2","正餐/甜点名称","","",""
"Spicy Hoglin Stew","mynethersdelight:spicy_hoglin_stew","DISH","dish_token;edible=true;type=farmersdelight:cooking","HIGH","是","12","19.2","effect.mynethersdelight.b_pungent 1200tick 2级 概率1；effect.farmersdelight.nourishment 3600tick 1级 概率1","1","0","mynethersdelight:cooking/spicy_hoglin_stew","","farmersdelight:cooking","My Nether's Delight","T2","正餐/甜点名称","","",""
"Spicy Noodle Soup","mynethersdelight:spicy_noodle_soup","DISH","dish_token;edible=true;type=farmersdelight:cooking","HIGH","是","16","20.8","effect.farmersdelight.nourishment 6000tick 1级 概率1；effect.mynethersdelight.b_pungent 1200tick 2级 概率1","1","0","mynethersdelight:cooking/spicy_noodle_soup","","farmersdelight:cooking","My Nether's Delight","T2","正餐/甜点名称","","",""
"Spicy Skewer","mynethersdelight:spicy_skewer","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","7","12.599999","effect.mynethersdelight.b_pungent 1200tick 1级 概率1","1","0","mynethersdelight:crafting/spicy_skewer","","minecraft:crafting_shapeless","My Nether's Delight","T2","正餐/甜点名称","","",""
"Strider Egg","mynethersdelight:strider_egg","INGREDIENT","manual_override;切割/原料蛋","HIGH","是","3","1.8000001","","1","0","mynethersdelight:cutting/strider_egg","","farmersdelight:cutting","My Nether's Delight","不进入厨师","切割/原料蛋","","","保持INGREDIENT"
"Strider Stew","mynethersdelight:strider_stew","DISH","dish_token;edible=true;type=farmersdelight:cooking","HIGH","是","8","9.6","effect.minecraft.fire_resistance 800tick 1级 概率1；effect.farmersdelight.nourishment 1200tick 1级 概率1","1","0","mynethersdelight:cooking/strider_stew","","farmersdelight:cooking","My Nether's Delight","T2","正餐/甜点名称","","",""
"Strider with Grilled Fungus","mynethersdelight:strider_with_grilled_fungus","DISH","cooking_device=farmersdelight:cooking;food_component","HIGH","是","10","18","effect.farmersdelight.nourishment 1200tick 1级 概率1","1","0","mynethersdelight:cooking/strider_and_grilled_fungus","","farmersdelight:cooking","My Nether's Delight","T2","正餐/甜点名称","","",""
"Striderloaf","mynethersdelight:striderloaf","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","mynethersdelight:crafting/striderloaf","","minecraft:crafting_shapeless","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Block of Stripped Powdery Cannon","mynethersdelight:stripped_powdery_block","INGREDIENT","ingredient_process=farmersdelight:cutting","MEDIUM","否","","","","1","0","farmersdelight:cutting/powdery_block","","farmersdelight:cutting","My Nether's Delight","不进入厨师","内容类型=INGREDIENT","","",""
"Stuffed Pepper","mynethersdelight:stuffed_pepper","DISH","manual_override;FOOD nutrition=8 saturation=12.8 effect=b_pungent; recipe id=mynethersdelight:crafting/stuffed_pepper (bullet_pepper+cooked_pork+milk); 复合正餐","HIGH","是","8","12.8","effect.mynethersdelight.b_pungent 300tick 3级 概率1","1","0","mynethersdelight:crafting/stuffed_pepper","","minecraft:crafting_shapeless","My Nether's Delight","T2","FOOD nutrition=8 saturation=12.8 effect=b_pungent; recipe id=mynethersdelight:crafting/stuffed_pepper (bullet_pepper+cooked_pork+milk); 复合正餐","","","My Nether's Delight;6A.3原REVIEW→DISH T2"
"Tear Popsicle","mynethersdelight:tear_popsicle","DISH","dish_token;edible=true;type=minecraft:crafting_shaped","HIGH","是","3","1.2","effect.minecraft.regeneration 100tick 2级 概率1","1","0","mynethersdelight:crafting/tear_popsicle","","minecraft:crafting_shaped","My Nether's Delight","COMMON","简单 DISH 兜底","","",""
"Toasts","mynethersdelight:toasts","DISH","cooking_device=minecraft:smelting;food_component","HIGH","是","7","8.400001","","3","0","mynethersdelight:toast_cooking | mynethersdelight:toast_from_campfire_cooking | mynethersdelight:toast_from_smoking","","minecraft:smelting | minecraft:campfire_cooking | minecraft:smoking","My Nether's Delight","COMMON","基础熟食或少量常见原料/单步合成","","",""
"Twisted Ghasta","mynethersdelight:twisted_ghasta","DISH","cooking_device=farmersdelight:cooking;food_component","HIGH","是","10","13","effect.farmersdelight.nourishment 2400tick 1级 概率1","1","0","mynethersdelight:cooking/twisted_ghasta","","farmersdelight:cooking","My Nether's Delight","T2","设备或复杂度：type=farmersdelight:cooking;kinds=1","","",""
"Waxed Hoglin Trophy","mynethersdelight:waxed_hoglin_trophy","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","mynethersdelight:crafting/waxed_hoglin_trophy","","minecraft:crafting_shapeless","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Zoglin Trophy","mynethersdelight:zoglin_trophy","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","mynethersdelight:crafting/zoglin_trophy","","minecraft:crafting_shaped","My Nether's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Adzuki Beans","neapolitan:adzuki_beans","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","neapolitan:adzuki_beans_from_adzuki_crate","","minecraft:crafting_shapeless","Neapolitan","不进入厨师","内容类型=NON_FOOD","","",""
"Adzuki Bun","neapolitan:adzuki_bun","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","5","3","effect.neapolitan.harmony 300tick 1级 概率1","1","0","neapolitan:adzuki_bun","","minecraft:crafting_shapeless","Neapolitan","COMMON","简单 DISH 兜底","","",""
"Adzuki Cake","neapolitan:adzuki_cake","SERVING_DISH","manual_override;FlavoredCakeBlock.eatSlice；无Item FOOD","HIGH","否","","","","1","0","neapolitan:adzuki_cake","","minecraft:crafting_shaped","Neapolitan","不进入厨师","FlavoredCakeBlock.eatSlice；无Item FOOD","","","javap:FlavoredCakeBlock"
"Crate of Adzuki Beans","neapolitan:adzuki_crate","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","neapolitan:adzuki_crate","","minecraft:crafting_shaped","Neapolitan","不进入厨师","内容类型=NON_FOOD","","",""
"Adzuki Curry","neapolitan:adzuki_curry","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","6","14.400001","effect.neapolitan.harmony 300tick 1级 概率1；effect.neapolitan.agility 300tick 1级 概率1","1","0","neapolitan:adzuki_curry","","minecraft:crafting_shapeless","Neapolitan","T2","正餐/甜点名称","","",""
"Adzuki Ice Cream","neapolitan:adzuki_ice_cream","DISH","explicit_dish_allowlist","HIGH","是","6","3.6000001","effect.neapolitan.harmony 600tick 1级 概率1","1","0","neapolitan:adzuki_ice_cream","","minecraft:crafting_shapeless","Neapolitan","T2","正餐/甜点名称","","",""
"Adzuki Ice Cream Block","neapolitan:adzuki_ice_cream_block","SERVING_DISH","manual_override;冰淇淋方块可放置分食；无FOOD","HIGH","否","","","","1","0","neapolitan:adzuki_ice_cream_block","","minecraft:crafting_shaped","Neapolitan","不进入厨师","冰淇淋方块可放置分食；无FOOD","","",""
"Adzuki Milkshake","neapolitan:adzuki_milkshake","DRINK","drink_token=adzuki_milkshake","HIGH","是","2","6","effect.neapolitan.harmony 300tick 1级 概率1","1","0","neapolitan:adzuki_milkshake","","minecraft:crafting_shapeless","Neapolitan","不进入厨师","内容类型=DRINK","","",""
"Adzuki Stew","neapolitan:adzuki_stew","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","8","9.6","effect.neapolitan.harmony 400tick 1级 概率1","1","0","neapolitan:adzuki_stew","","minecraft:crafting_shapeless","Neapolitan","T2","正餐/甜点名称","","",""
"Banana","neapolitan:banana","RAW_FOOD","manual_override;可食用原料香蕉","HIGH","是","2","1.2","effect.neapolitan.agility 300tick 1级 概率1","1","0","neapolitan:banana","","minecraft:crafting_shapeless","Neapolitan","不进入厨师","可食用原料香蕉","","","边界产物"
"Banana Bread","neapolitan:banana_bread","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","5","6","effect.neapolitan.agility 600tick 1级 概率1","1","0","neapolitan:banana_bread","","minecraft:crafting_shapeless","Neapolitan","T2","正餐/甜点名称","","",""
"Banana Bundle","neapolitan:banana_bundle","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","neapolitan:banana_bundle","","minecraft:crafting_shapeless","Neapolitan","不进入厨师","内容类型=NON_FOOD","","",""
"Banana Cake","neapolitan:banana_cake","SERVING_DISH","manual_override;FlavoredCakeBlock.eatSlice","HIGH","否","","","","1","0","neapolitan:banana_cake","","minecraft:crafting_shaped","Neapolitan","不进入厨师","FlavoredCakeBlock.eatSlice","","",""
"Crate of Bananas","neapolitan:banana_crate","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","neapolitan:banana_crate","","minecraft:crafting_shaped","Neapolitan","不进入厨师","内容类型=NON_FOOD","","",""
"Banana Ice Cream","neapolitan:banana_ice_cream","DISH","explicit_dish_allowlist","HIGH","是","6","3.6000001","effect.neapolitan.agility 1200tick 1级 概率1","1","0","neapolitan:banana_ice_cream","","minecraft:crafting_shapeless","Neapolitan","T2","正餐/甜点名称","","",""
"Banana Ice Cream Block","neapolitan:banana_ice_cream_block","SERVING_DISH","manual_override;冰淇淋方块","HIGH","否","","","","1","0","neapolitan:banana_ice_cream_block","","minecraft:crafting_shaped","Neapolitan","不进入厨师","冰淇淋方块","","",""
"Banana Milkshake","neapolitan:banana_milkshake","DRINK","drink_token=banana_milkshake","HIGH","是","2","6","effect.neapolitan.agility 600tick 1级 概率1","1","0","neapolitan:banana_milkshake","","minecraft:crafting_shapeless","Neapolitan","不进入厨师","内容类型=DRINK","","",""
"Banana Stalk","neapolitan:banana_stalk","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","neapolitan:banana_stalk","","minecraft:crafting_shapeless","Neapolitan","不进入厨师","内容类型=NON_FOOD","","",""
"Bananarrow","neapolitan:bananarrow","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","neapolitan:bananarrow","","minecraft:crafting_shapeless","Neapolitan","不进入厨师","内容类型=NON_FOOD","","",""
"Carved Banana Stalk","neapolitan:carved_banana_stalk","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","neapolitan:carved_banana_stalk","","minecraft:crafting_shaped","Neapolitan","不进入厨师","内容类型=NON_FOOD","","",""
"Banner Pattern","neapolitan:chimpanzee_banner_pattern","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","neapolitan:chimpanzee_banner_pattern","","minecraft:crafting_shapeless","Neapolitan","不进入厨师","内容类型=NON_FOOD","","",""
"Chiseled Chocolate Bricks","neapolitan:chiseled_chocolate_bricks","NON_FOOD","not_edible","MEDIUM","否","","","","2","0","neapolitan:chiseled_chocolate_bricks | neapolitan:chiseled_chocolate_bricks_from_chocolate_bricks_stonecutting","","minecraft:crafting_shaped | minecraft:stonecutting","Neapolitan","不进入厨师","内容类型=NON_FOOD","","",""
"Chocolate Bar","neapolitan:chocolate_bar","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","4","2.4","effect.neapolitan.sugar_rush 400tick 2级 概率1","2","0","neapolitan:chocolate_bar | neapolitan:chocolate_bar_from_chocolate_block","","minecraft:crafting_shapeless","Neapolitan","COMMON","简单 DISH 兜底","","",""
"Chocolate Block","neapolitan:chocolate_block","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","neapolitan:chocolate_block","","minecraft:crafting_shaped","Neapolitan","不进入厨师","内容类型=NON_FOOD","","",""
"Chocolate Brick Slab","neapolitan:chocolate_brick_slab","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","2","0","neapolitan:chocolate_brick_slab | neapolitan:chocolate_brick_slab_from_chocolate_bricks_stonecutting","","minecraft:crafting_shaped | minecraft:stonecutting","Neapolitan","不进入厨师","内容类型=NON_FOOD","","",""
