模组,配方ID,产物,数量,机器,原料,附加参数,饥饿值,饱和度,效果(buff),UNITE状态,备注
农夫乐事,cake_from_slices.json,蛋糕(minecraft:cake),1,工作台,蛋糕切片(farmersdelight:cake_slice) + 蛋糕切片(farmersdelight:cake_slice) + 蛋糕切片(farmersdelight:cake_slice) + 蛋糕切片(farmersdelight:cake_slice) + 蛋糕切片(farmersdelight:cake_slice) + 蛋糕切片(farmersdelight:cake_slice) + 蛋糕切片(farmersdelight:cake_slice),,,,,原始,
农夫乐事,honey_cookie.json,蜂蜜曲奇(farmersdelight:honey_cookie),8,工作台,蜜瓶(minecraft:honey_bottle) + 小麦(#c:crops/wheat) + 小麦(#c:crops/wheat),,,,,原始,
农夫乐事,honey_glazed_ham_block.json,蜜汁火腿(farmersdelight:honey_glazed_ham_block),1,工作台,甜浆果(minecraft:sweet_berries) + 蜜瓶(minecraft:honey_bottle) + 甜浆果(minecraft:sweet_berries) + 甜浆果(minecraft:sweet_berries) + 烟熏火腿(farmersdelight:smoked_ham) + 甜浆果(minecraft:sweet_berries) + 米饭(kaleidoscope_cookery:cooked_rice) + 碗(minecraft:bowl) + 米饭(kaleidoscope_cookery:cooked_rice),,,,,已修改(UNITE),原料/产物已统一为万花筒物品
农夫乐事,rice_bag.json,袋装稻米(farmersdelight:rice_bag),1,工作台,稻米(kaleidoscope_cookery:rice)×9,,,,,已修改(UNITE),原料/产物已统一为万花筒物品
万花筒烹饪,stuffed_dough_food.json,裹馅面食(kaleidoscope_cookery:stuffed_dough_food),1,工作台,生肉(#c:raw_meats) + 蔬菜(#c:vegetables) + 面团(#c:dough),,,,,原始(统一基准),
农夫乐事,melon_popsicle.json,西瓜冰棍(farmersdelight:melon_popsicle),1,工作台,西瓜片(minecraft:melon_slice)×4 + 冰(minecraft:ice)×2 + 木棍(minecraft:stick),,,,,原始,
万花筒烹饪,watermelon_platter.json,西瓜拼盘(kaleidoscope_cookery:watermelon_platter),1,工作台,西瓜片(minecraft:melon_slice) + 西瓜片(minecraft:melon_slice) + 西瓜片(minecraft:melon_slice) + 碗(minecraft:bowl),,,,,原始(统一基准),
农夫乐事,melon_juice.json,西瓜汁(farmersdelight:melon_juice),1,工作台,西瓜片(minecraft:melon_slice) + 西瓜片(minecraft:melon_slice) + 糖(minecraft:sugar) + 西瓜片(minecraft:melon_slice) + 西瓜片(minecraft:melon_slice) + 玻璃瓶(minecraft:glass_bottle),,,,,原始,
万花筒烹饪,cook_stool_warped.json,诡异木厨娘凳(kaleidoscope_cookery:cook_stool_warped),1,工作台,诡异木板(minecraft:warped_planks)×5,,,,,原始(统一基准),
万花筒烹饪,chair_warped.json,诡异木椅子(kaleidoscope_cookery:chair_warped),1,工作台,诡异木栅栏(minecraft:warped_fence)×3 + 诡异木台阶(minecraft:warped_slab)×3,,,,,原始(统一基准),
农夫乐事,warped_cabinet.json,诡异木橱柜(farmersdelight:warped_cabinet),1,工作台,诡异木台阶(minecraft:warped_slab)×6 + 诡异木活板门(minecraft:warped_trapdoor)×2,,,,,原始,
万花筒烹饪,table_warped.json,诡异木餐桌(kaleidoscope_cookery:table_warped),1,工作台,诡异木台阶(minecraft:warped_slab)×3 + 诡异木栅栏(minecraft:warped_fence)×2,,,,,原始(统一基准),
万花筒烹饪,chili_ristra.json,辣椒串串(kaleidoscope_cookery:chili_ristra),1,工作台,红辣椒(kaleidoscope_cookery:red_chili)×6,,,,,原始(统一基准),
农夫乐事,golden_knife.json,金刀(farmersdelight:golden_knife),1,工作台,金锭(minecraft:gold_ingot) + 木棍(minecraft:stick),,,,,原始,
万花筒烹饪,cook_stool_acacia.json,金合欢木厨娘凳(kaleidoscope_cookery:cook_stool_acacia),1,工作台,金合欢木板(minecraft:acacia_planks)×5,,,,,原始(统一基准),
万花筒烹饪,chair_acacia.json,金合欢木椅子(kaleidoscope_cookery:chair_acacia),1,工作台,金合欢木栅栏(minecraft:acacia_fence)×3 + 金合欢木台阶(minecraft:acacia_slab)×3,,,,,原始(统一基准),
农夫乐事,acacia_cabinet.json,金合欢木橱柜(farmersdelight:acacia_cabinet),1,工作台,金合欢木台阶(minecraft:acacia_slab)×6 + 金合欢木活板门(minecraft:acacia_trapdoor)×2,,,,,原始,
万花筒烹饪,table_acacia.json,金合欢木餐桌(kaleidoscope_cookery:table_acacia),1,工作台,金合欢木台阶(minecraft:acacia_slab)×3 + 金合欢木栅栏(minecraft:acacia_fence)×2,,,,,原始(统一基准),
万花筒烹饪,gold_kitchen_knife.json,金菜刀(kaleidoscope_cookery:gold_kitchen_knife),1,工作台,金锭(#c:ingots/gold)×3 + 木棍(minecraft:stick),,,,,原始(统一基准),
农夫乐事,diamond_knife.json,钻石刀(farmersdelight:diamond_knife),1,工作台,钻石(minecraft:diamond) + 木棍(minecraft:stick),,,,,原始,
万花筒烹饪,diamond_kitchen_knife.json,钻石菜刀(kaleidoscope_cookery:diamond_kitchen_knife),1,工作台,钻石(#c:gems/diamond)×3 + 木棍(minecraft:stick),,,,,原始(统一基准),
农夫乐事,iron_knife.json,铁刀(farmersdelight:iron_knife),1,工作台,铁锭(#c:ingots/iron) + 木棍(minecraft:stick),,,,,原始,
万花筒烹饪,iron_kitchen_knife.json,铁菜刀(kaleidoscope_cookery:iron_kitchen_knife),1,工作台,铁锭(#c:ingots/iron)×3 + 木棍(minecraft:stick),,,,,原始(统一基准),
万花筒烹饪,kitchen_shovel.json,锅铲(kaleidoscope_cookery:kitchen_shovel),1,工作台,铁锭(#c:ingots/iron) + 铁粒(#c:nuggets/iron) + 木棍(minecraft:stick),,,,,原始(统一基准),
万花筒烹饪,sickle.json,镰刀(kaleidoscope_cookery:sickle),1,工作台,燧石(minecraft:flint)×3 + 线(minecraft:string) + 木棍(minecraft:stick)×2,,,,,原始(统一基准),
农夫乐事,full_tatami_mat.json,长榻榻米垫(farmersdelight:full_tatami_mat),2,工作台,榻榻米方块(farmersdelight:tatami),,,,,原始,
农夫乐事,full_tatami_mat_from_halves.json,长榻榻米垫(farmersdelight:full_tatami_mat),1,工作台,短榻榻米垫(farmersdelight:half_tatami_mat) + 短榻榻米垫(farmersdelight:half_tatami_mat),,,,,原始,
农夫乐事,gleaming_salad_block.json,闪亮沙拉(farmersdelight:gleaming_salad_block),1,工作台,发光浆果(minecraft:glow_berries) + 蜜瓶(minecraft:honey_bottle) + 发光浆果(minecraft:glow_berries) + 番茄(#c:crops/tomato) + 金胡萝卜(minecraft:golden_carrot) + 甜菜根(#c:crops/beetroot) + 卷心菜(farmersdelight:cabbage) + 碗(minecraft:bowl) + 卷心菜(farmersdelight:cabbage),,,,,原始,
农夫乐事,cyan_canvas_sign.json,青色粗布告示牌(farmersdelight:cyan_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 青色染料(#c:dyes/cyan),,,,,原始,
农夫乐事,pie_crust.json,馅饼酥皮(farmersdelight:pie_crust),1,工作台,小麦(#c:crops/wheat)×3 + 奶(#c:drinks/milk),,2,0.8,,原始,
农夫乐事,grilled_salmon.json,香烤鲑鱼(farmersdelight:grilled_salmon),1,工作台,熟鲑鱼(#c:foods/cooked_salmon) + 甜浆果(minecraft:sweet_berries) + 碗(minecraft:bowl) + 卷心菜(#c:crops/cabbage) + 洋葱(#c:crops/onion),,14,21.0,营养 3分,原始,
农夫乐事,potato_from_crate.json,马铃薯(minecraft:potato),9,工作台,箱装马铃薯(farmersdelight:potato_crate),,,,,原始,
农夫乐事,horse_feed.json,马食(farmersdelight:horse_feed),1,工作台,任选其一:[干草块(minecraft:hay_block) | 稻穗捆(farmersdelight:rice_bale)] + 苹果(minecraft:apple) + 苹果(minecraft:apple) + 金胡萝卜(minecraft:golden_carrot),,,,,原始,
农夫乐事,salmon_roll.json,鲑鱼寿司(farmersdelight:salmon_roll),2,工作台,生鲑鱼片(farmersdelight:salmon_slice) + 生鲑鱼片(farmersdelight:salmon_slice) + 米饭(kaleidoscope_cookery:cooked_rice),,7,8.4,,已修改(UNITE),原料/产物已统一为万花筒物品
农夫乐事,cod_roll.json,鳕鱼寿司(farmersdelight:cod_roll),2,工作台,生鳕鱼片(farmersdelight:cod_slice) + 生鳕鱼片(farmersdelight:cod_slice) + 米饭(kaleidoscope_cookery:cooked_rice),,7,8.4,,已修改(UNITE),原料/产物已统一为万花筒物品
农夫乐事,chicken_sandwich.json,鸡肉三明治(farmersdelight:chicken_sandwich),1,工作台,面包(#c:foods/bread) + 熟鸡肉(#c:foods/cooked_chicken) + 绿叶菜(#c:foods/leafy_green) + 胡萝卜(#c:crops/carrot),,10,16.0,,原始,
农夫乐事,lime_canvas_sign.json,黄绿色粗布告示牌(farmersdelight:lime_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 黄绿色染料(#c:dyes/lime),,,,,原始,
农夫乐事,yellow_canvas_sign.json,黄色粗布告示牌(farmersdelight:yellow_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 黄色染料(#c:dyes/yellow),,,,,原始,
万花筒烹饪,golden_salad.json,黄金沙拉(kaleidoscope_cookery:golden_salad),1,工作台,金苹果(minecraft:golden_apple) + 金苹果(minecraft:golden_apple) + 金胡萝卜(minecraft:golden_carrot) + 金胡萝卜(minecraft:golden_carrot) + 闪烁的西瓜片(minecraft:glistering_melon_slice) + 闪烁的西瓜片(minecraft:glistering_melon_slice) + 碗(minecraft:bowl),,20,22.0,抗性提升 1分40秒、生命恢复 10秒,原始(统一基准),
农夫乐事,black_canvas_sign.json,黑色粗布告示牌(farmersdelight:black_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 黑色染料(#c:dyes/black),,,,,原始,
农夫乐事,food_serving.json,{},1,厨锅(分装机制),{},,,,,原始,
农夫乐事,cooking/rabbit_stew.json,兔肉煲(minecraft:rabbit_stew),1,"厨锅(烹饪锅,置于炉灶上)",马铃薯(#c:crops/potato) + 生兔肉(minecraft:rabbit) + 胡萝卜(#c:crops/carrot) + 任选其一:[棕色蘑菇(minecraft:brown_mushroom) | 红色蘑菇(minecraft:red_mushroom)],200刻; 经验1.0,,,,原始,
农夫乐事,cooking/pumpkin_soup.json,南瓜汤(farmersdelight:pumpkin_soup),1,"厨锅(烹饪锅,置于炉灶上)",南瓜片(farmersdelight:pumpkin_slice) + 绿叶菜(#c:foods/leafy_green) + 生猪排(#c:foods/raw_pork) + 奶(#c:drinks/milk),200刻; 经验1.0,14,21.0,营养 5分,原始,
农夫乐事,cooking/cabbage_rolls.json,卷心菜卷(farmersdelight:cabbage_rolls),1,"厨锅(烹饪锅,置于炉灶上)",卷心菜(#c:crops/cabbage) + 任选其一:[生肉(#c:foods/raw_meat) | 安全生鱼(不含河豚)(#c:foods/safe_raw_fish) | 蔬菜(#c:foods/vegetable) | 蘑菇(#c:mushrooms)],100刻; 经验0.35,5,5.0,,原始,
农夫乐事,cooking/glow_berry_custard.json,发光浆果蛋奶沙司(farmersdelight:glow_berry_custard),1,"厨锅(烹饪锅,置于炉灶上)",发光浆果(minecraft:glow_berries) + 奶(#c:drinks/milk) + 蛋(#c:eggs) + 糖(minecraft:sugar),200刻; 经验1.0,7,8.4,发光 5秒,原始,
农夫乐事,cooking/stuffed_pumpkin_block.json,填馅南瓜(farmersdelight:stuffed_pumpkin_block),1,"厨锅(烹饪锅,置于炉灶上)",稻米(#c:crops/rice) + 洋葱(#c:crops/onion) + 棕色蘑菇(minecraft:brown_mushroom) + 马铃薯(#c:crops/potato) + 浆果(#c:foods/berry) + 蔬菜(#c:foods/vegetable)(除西瓜片(minecraft:melon_slice)),400刻; 经验2.0,,,,原始,
农夫乐事,cooking/bone_broth.json,大骨汤(farmersdelight:bone_broth),1,"厨锅(烹饪锅,置于炉灶上)",骨头(#c:bones) + 任选其一:[发光浆果(minecraft:glow_berries) | 蘑菇(#c:mushrooms) | 垂根(minecraft:hanging_roots) | 发光地衣(minecraft:glow_lichen)],200刻; 经验0.35,8,11.2,营养 1分,原始,
农夫乐事,cooking/onion_soup.json,洋葱汤(farmersdelight:onion_soup),1,"厨锅(烹饪锅,置于炉灶上)",洋葱(#c:crops/onion) + 洋葱(#c:crops/onion) + 面包(#c:foods/bread) + 奶(#c:drinks/milk),200刻; 经验1.0,12,19.2,营养 3分,原始,
农夫乐事,cooking/fried_rice.json,炒饭(farmersdelight:fried_rice),1,"厨锅(烹饪锅,置于炉灶上)",稻米(#c:crops/rice) + 蛋(#c:eggs) + 胡萝卜(#c:crops/carrot) + 洋葱(#c:crops/onion),200刻; 经验1.0,12,19.2,营养 3分,原始,
农夫乐事,cooking/baked_cod_stew.json,烘焙鳕鱼炖(farmersdelight:baked_cod_stew),1,"厨锅(烹饪锅,置于炉灶上)",生鳕鱼(#c:foods/raw_cod) + 马铃薯(#c:crops/potato) + 蛋(#c:eggs) + 番茄(#c:crops/tomato),200刻; 经验1.0,14,21.0,营养 5分,原始,
农夫乐事,cooking/hot_cocoa.json,热可可(farmersdelight:hot_cocoa),1,"厨锅(烹饪锅,置于炉灶上)",奶(#c:drinks/milk) + 糖(minecraft:sugar) + 可可豆(minecraft:cocoa_beans) + 可可豆(minecraft:cocoa_beans),200刻; 经验1.0,,,,原始,
农夫乐事,cooking/beef_stew.json,牛肉炖(farmersdelight:beef_stew),1,"厨锅(烹饪锅,置于炉灶上)",生牛肉(#c:foods/raw_beef) + 胡萝卜(#c:crops/carrot) + 马铃薯(#c:crops/potato),200刻; 经验1.0,12,19.2,营养 3分,原始,
农夫乐事,cooking/dog_food.json,狗粮(farmersdelight:dog_food),1,"厨锅(烹饪锅,置于炉灶上)",腐肉(minecraft:rotten_flesh) + 骨粉(minecraft:bone_meal) + 生肉(#c:foods/raw_meat) + 稻米(#c:crops/rice),200刻; 经验1.0,4,1.6,,原始,
农夫乐事,cooking/beetroot_soup.json,甜菜汤(minecraft:beetroot_soup),1,"厨锅(烹饪锅,置于炉灶上)",甜菜根(#c:crops/beetroot) + 甜菜根(#c:crops/beetroot) + 甜菜根(#c:crops/beetroot),200刻; 经验1.0,,,,原始,
农夫乐事,cooking/tomato_sauce.json,番茄酱(farmersdelight:tomato_sauce),1,"厨锅(烹饪锅,置于炉灶上)",番茄(#c:crops/tomato) + 番茄(#c:crops/tomato),100刻; 经验0.35,4,3.2,,原始,
农夫乐事,cooking/cooked_rice.json,米饭(farmersdelight:cooked_rice),1,"厨锅(烹饪锅,置于炉灶上)",稻米(#c:crops/rice),100刻; 经验0.35,6,4.8,营养 30秒,原始,
农夫乐事,cooking/pasta_with_mutton_chop.json,羊排意面(farmersdelight:pasta_with_mutton_chop),1,"厨锅(烹饪锅,置于炉灶上)",生羊肉(#c:foods/raw_mutton) + 意面(#c:foods/pasta) + 番茄酱(farmersdelight:tomato_sauce),200刻; 经验1.0,12,19.2,营养 3分,原始,
农夫乐事,cooking/pasta_with_meatballs.json,肉丸意面(farmersdelight:pasta_with_meatballs),1,"厨锅(烹饪锅,置于炉灶上)",牛肉馅(farmersdelight:minced_beef) + 意面(#c:foods/pasta) + 番茄酱(farmersdelight:tomato_sauce),200刻; 经验1.0,12,19.2,营养 3分,原始,
农夫乐事,cooking/apple_cider.json,苹果酒(farmersdelight:apple_cider),1,"厨锅(烹饪锅,置于炉灶上)",苹果(minecraft:apple) + 苹果(minecraft:apple) + 糖(minecraft:sugar),200刻; 经验1.0,,,伤害吸收 1分,原始,
农夫乐事,cooking/ratatouille.json,蔬菜杂烩(farmersdelight:ratatouille),1,"厨锅(烹饪锅,置于炉灶上)",番茄(#c:crops/tomato) + 洋葱(#c:crops/onion) + 甜菜根(#c:crops/beetroot) + 蔬菜(#c:foods/vegetable)(除西瓜片(minecraft:melon_slice)),200刻; 经验1.0,10,12.0,营养 1分,原始,
农夫乐事,cooking/vegetable_soup.json,蔬菜汤(farmersdelight:vegetable_soup),1,"厨锅(烹饪锅,置于炉灶上)",胡萝卜(#c:crops/carrot) + 马铃薯(#c:crops/potato) + 甜菜根(#c:crops/beetroot) + 绿叶菜(#c:foods/leafy_green),200刻; 经验1.0,12,19.2,营养 3分,原始,
农夫乐事,cooking/vegetable_noodles.json,蔬菜面(farmersdelight:vegetable_noodles),1,"厨锅(烹饪锅,置于炉灶上)",胡萝卜(#c:crops/carrot) + 蘑菇(#c:mushrooms) + 意面(#c:foods/pasta) + 绿叶菜(#c:foods/leafy_green) + 蔬菜(#c:foods/vegetable)(除西瓜片(minecraft:melon_slice)),200刻; 经验1.0,14,21.0,营养 5分,原始,
农夫乐事,cooking/mushroom_stew.json,蘑菇煲(minecraft:mushroom_stew),1,"厨锅(烹饪锅,置于炉灶上)",棕色蘑菇(minecraft:brown_mushroom) + 红色蘑菇(minecraft:red_mushroom),200刻; 经验1.0,,,,原始,
农夫乐事,cooking/mushroom_rice.json,蘑菇饭(farmersdelight:mushroom_rice),1,"厨锅(烹饪锅,置于炉灶上)",棕色蘑菇(minecraft:brown_mushroom) + 红色蘑菇(minecraft:red_mushroom) + 稻米(#c:crops/rice) + 任选其一:[胡萝卜(minecraft:carrot) | 马铃薯(minecraft:potato)],200刻; 经验1.0,12,19.2,营养 3分,原始,
农夫乐事,cooking/noodle_soup.json,面条汤(farmersdelight:noodle_soup),1,"厨锅(烹饪锅,置于炉灶上)",意面(#c:foods/pasta) + 蛋(#c:eggs) + 干海带(minecraft:dried_kelp) + 生猪排(#c:foods/raw_pork),200刻; 经验1.0,14,21.0,营养 5分,原始,
农夫乐事,cooking/dumplings.json,饺子(farmersdelight:dumplings),2,"厨锅(烹饪锅,置于炉灶上)",面团(#c:dough) + 卷心菜(#c:crops/cabbage) + 洋葱(#c:crops/onion) + 任选其一:[生鸡肉(#c:foods/raw_chicken) | 生猪排(#c:foods/raw_pork) | 生牛肉(#c:foods/raw_beef) | 棕色蘑菇(minecraft:brown_mushroom)],200刻; 经验1.0,8,12.8,,已修改(UNITE),原料/产物已统一为万花筒物品
农夫乐事,cooking/fish_stew.json,鱼肉炖(farmersdelight:fish_stew),1,"厨锅(烹饪锅,置于炉灶上)",安全生鱼(不含河豚)(#c:foods/safe_raw_fish) + 番茄酱(farmersdelight:tomato_sauce) + 洋葱(#c:crops/onion),200刻; 经验1.0,12,19.2,营养 3分,原始,
农夫乐事,cooking/squid_ink_pasta.json,鱿鱼墨面(farmersdelight:squid_ink_pasta),1,"厨锅(烹饪锅,置于炉灶上)",安全生鱼(不含河豚)(#c:foods/safe_raw_fish) + 意面(#c:foods/pasta) + 番茄(#c:crops/tomato) + 墨囊(minecraft:ink_sac),200刻; 经验1.0,14,21.0,营养 5分,原始,
农夫乐事,cooking/chicken_soup.json,鸡肉汤(farmersdelight:chicken_soup),1,"厨锅(烹饪锅,置于炉灶上)",生鸡肉(#c:foods/raw_chicken) + 胡萝卜(#c:crops/carrot) + 绿叶菜(#c:foods/leafy_green) + 蔬菜(#c:foods/vegetable)(除西瓜片(minecraft:melon_slice)),200刻; 经验1.0,12,19.2,营养 3分,原始,
农夫乐事,salvaging/quartz_block.json,下界石英(minecraft:quartz),4,砧板,石英块(minecraft:quartz_block),工具:镐或镐(#minecraft:pickaxes),,,,原始,
农夫乐事,salvaging/nether_bricks.json,下界砖(minecraft:nether_brick),4,砧板,下界砖块(minecraft:nether_bricks),工具:镐或镐(#minecraft:pickaxes),,,,原始,
农夫乐事,salvaging/jungle_furniture.json,丛林木板(minecraft:jungle_planks),1,砧板,任选其一:[丛林木门(minecraft:jungle_door) | 丛林木活板门(minecraft:jungle_trapdoor) | 丛林木告示牌(minecraft:jungle_sign) | 丛林木悬挂牌(minecraft:jungle_hanging_sign) | 丛林木栅栏(minecraft:jungle_fence) | 丛林木栅栏门(minecraft:jungle_fence_gate) | 丛林木压力板(minecraft:jungle_pressure_plate) | 丛林木按钮(minecraft:jungle_button) | 丛林木船(minecraft:jungle_boat) | 丛林木橱柜(farmersdelight:jungle_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%,,,,原始,
农夫乐事,salvaging/jungle_chest_boat.json,丛林木船(minecraft:jungle_boat) + 箱子(minecraft:chest),1,砧板,丛林木储物船(minecraft:jungle_chest_boat),工具:锄或锄(#minecraft:hoes),,,,原始,
农夫乐事,salvaging/spruce_furniture.json,云杉木板(minecraft:spruce_planks),1,砧板,任选其一:[云杉木门(minecraft:spruce_door) | 云杉木活板门(minecraft:spruce_trapdoor) | 云杉木告示牌(minecraft:spruce_sign) | 云杉木悬挂牌(minecraft:spruce_hanging_sign) | 云杉木栅栏(minecraft:spruce_fence) | 云杉木栅栏门(minecraft:spruce_fence_gate) | 云杉木压力板(minecraft:spruce_pressure_plate) | 云杉木按钮(minecraft:spruce_button) | 云杉木船(minecraft:spruce_boat) | 云杉木橱柜(farmersdelight:spruce_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%,,,,原始,
农夫乐事,salvaging/spruce_chest_boat.json,云杉木船(minecraft:spruce_boat) + 箱子(minecraft:chest),1,砧板,云杉木储物船(minecraft:spruce_chest_boat),工具:锄或锄(#minecraft:hoes),,,,原始,
农夫乐事,cutting/pumpkin_pie.json,南瓜派切片(farmersdelight:pumpkin_pie_slice),4,砧板,南瓜派(minecraft:pumpkin_pie),工具:knife_dig或刀(#c:tools/knife),,,,原始,
农夫乐事,cutting/pumpkin.json,南瓜片(farmersdelight:pumpkin_slice),4,砧板,南瓜(minecraft:pumpkin),工具:knife_dig或刀(#c:tools/knife),3,1.8,,原始,
农夫乐事,cutting/cabbage.json,卷心菜叶(farmersdelight:cabbage_leaf),2,砧板,卷心菜(farmersdelight:cabbage),工具:knife_dig或刀(#c:tools/knife),1,0.8,,原始,
农夫乐事,cutting/wild_cabbages.json,卷心菜种子(farmersdelight:cabbage_seeds) + 黄色染料(minecraft:yellow_dye),1,砧板,野生卷心菜(farmersdelight:wild_cabbages),工具:knife_dig或刀(#c:tools/knife),,,,原始,
农夫乐事,cutting/jungle_wood.json,去皮丛林木(minecraft:stripped_jungle_wood) + 树皮(farmersdelight:tree_bark),1,砧板,丛林木(minecraft:jungle_wood),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/jungle_log.json,去皮丛林木原木(minecraft:stripped_jungle_log) + 树皮(farmersdelight:tree_bark),1,砧板,丛林原木(minecraft:jungle_log),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/spruce_wood.json,去皮云杉木(minecraft:stripped_spruce_wood) + 树皮(farmersdelight:tree_bark),1,砧板,云杉木(minecraft:spruce_wood),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/spruce_log.json,去皮云杉木原木(minecraft:stripped_spruce_log) + 树皮(farmersdelight:tree_bark),1,砧板,云杉原木(minecraft:spruce_log),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/cherry_wood.json,去皮樱花木(minecraft:stripped_cherry_wood) + 树皮(farmersdelight:tree_bark),1,砧板,樱花木(minecraft:cherry_wood),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/cherry_log.json,去皮樱花木原木(minecraft:stripped_cherry_log) + 树皮(farmersdelight:tree_bark),1,砧板,樱花原木(minecraft:cherry_log),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/oak_wood.json,去皮橡木(minecraft:stripped_oak_wood) + 树皮(farmersdelight:tree_bark),1,砧板,橡木(minecraft:oak_wood),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/oak_log.json,去皮橡木原木(minecraft:stripped_oak_log) + 树皮(farmersdelight:tree_bark),1,砧板,橡木原木(minecraft:oak_log),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/dark_oak_wood.json,去皮深色橡木(minecraft:stripped_dark_oak_wood) + 树皮(farmersdelight:tree_bark),1,砧板,深色橡木(minecraft:dark_oak_wood),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/dark_oak_log.json,去皮深色橡木原木(minecraft:stripped_dark_oak_log) + 树皮(farmersdelight:tree_bark),1,砧板,深色橡木原木(minecraft:dark_oak_log),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/birch_wood.json,去皮白桦木(minecraft:stripped_birch_wood) + 树皮(farmersdelight:tree_bark),1,砧板,白桦木(minecraft:birch_wood),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/birch_log.json,去皮白桦木原木(minecraft:stripped_birch_log) + 树皮(farmersdelight:tree_bark),1,砧板,白桦原木(minecraft:birch_log),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/bamboo_block.json,去皮竹块(minecraft:stripped_bamboo_block) + 草秆(farmersdelight:straw),1,砧板,竹块(minecraft:bamboo_block),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/mangrove_wood.json,去皮红树木(minecraft:stripped_mangrove_wood) + 树皮(farmersdelight:tree_bark),1,砧板,红树木(minecraft:mangrove_wood),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/mangrove_log.json,去皮红树木原木(minecraft:stripped_mangrove_log) + 树皮(farmersdelight:tree_bark),1,砧板,红树木原木(minecraft:mangrove_log),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/crimson_stem.json,去皮绯红木菌柄(minecraft:stripped_crimson_stem) + 树皮(farmersdelight:tree_bark),1,砧板,绯红菌柄(minecraft:crimson_stem),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/crimson_hyphae.json,去皮绯红木菌核(minecraft:stripped_crimson_hyphae) + 树皮(farmersdelight:tree_bark),1,砧板,绯红菌核(minecraft:crimson_hyphae),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/warped_stem.json,去皮诡异木菌柄(minecraft:stripped_warped_stem) + 树皮(farmersdelight:tree_bark),1,砧板,诡异菌柄(minecraft:warped_stem),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/warped_hyphae.json,去皮诡异木菌核(minecraft:stripped_warped_hyphae) + 树皮(farmersdelight:tree_bark),1,砧板,诡异菌核(minecraft:warped_hyphae),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/acacia_wood.json,去皮金合欢木(minecraft:stripped_acacia_wood) + 树皮(farmersdelight:tree_bark),1,砧板,金合欢木(minecraft:acacia_wood),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/acacia_log.json,去皮金合欢木原木(minecraft:stripped_acacia_log) + 树皮(farmersdelight:tree_bark),1,砧板,金合欢原木(minecraft:acacia_log),工具:斧(剥皮)或斧(#minecraft:axes),,,,原始,
农夫乐事,cutting/allium.json,品红色染料(minecraft:magenta_dye),2,砧板,绒球葱(minecraft:allium),工具:knife_dig或刀(#c:tools/knife),,,,原始,
农夫乐事,salvaging/stone.json,圆石(minecraft:cobblestone),1,砧板,石头(minecraft:stone),工具:镐或镐(#minecraft:pickaxes),,,,原始,
农夫乐事,cutting/chocolate_pie.json,巧克力派切片(farmersdelight:chocolate_pie_slice),4,砧板,巧克力派(farmersdelight:chocolate_pie),工具:knife_dig或刀(#c:tools/knife),,,,原始,
农夫乐事,cutting/brown_mushroom_colony.json,棕色蘑菇(minecraft:brown_mushroom),5,砧板,棕色蘑菇菌落(farmersdelight:brown_mushroom_colony),工具:knife_dig或刀(#c:tools/knife),,,,原始,
