"来源模组","配方 ID","配方中文译名（主产物）","配方序列化类型","合成机器/工序","产物中文名","产物 ID","产物数量","是否可食用","饥饿值","饱食度","食用效果/BUFF","经验值","烹饪时间(tick)","原料概览","备注"
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/red_dye_from_beetroot","红色染料","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","红色染料","minecraft:red_dye","2","否","","","","","","原料：甜菜根 <minecraft:beetroot>",""
"farmersdelight","farmersdelight:chocolate_pie","巧克力派","minecraft:crafting_shaped","工作台（有序合成）","巧克力派","farmersdelight:chocolate_pie","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:apple_platter","苹果拼盘","minecraft:crafting_shapeless","工作台（无序合成）","苹果拼盘","kaleidoscope_cookery:apple_platter","1","否","","","","","","原料：苹果 <minecraft:apple>；原料：苹果 <minecraft:apple>；原料：苹果 <minecraft:apple>；原料：苹果 <minecraft:apple>；原料：碗 <minecraft:bowl>",""
"kaleidoscope_cookery","kaleidoscope_cookery:chair_jungle","丛林木椅子","minecraft:crafting_shaped","工作台（有序合成）","丛林木椅子","kaleidoscope_cookery:chair_jungle","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"spawn","spawn:algal_reefstone_slab_from_algal_reefstone_stonecutting","藻礁石台阶","minecraft:stonecutting","自定义工序（minecraft:stonecutting）","藻礁石台阶","spawn:algal_reefstone_slab","2","否","","","","","","原料：藻礁石 <spawn:algal_reefstone>",""
"spawn","spawn:cutting/cooked_tuna_chunk","熟金枪鱼片","farmersdelight:cutting","切菜板","熟金枪鱼片","spawn:cooked_tuna_slice","2","是","4","4","","","","原料：熟金枪鱼块 <spawn:cooked_tuna_chunk>；工具：#c:tools/knife",""
"farmersdelight","farmersdelight:cutting/clay","黏土球","farmersdelight:cutting","切菜板","黏土球","minecraft:clay_ball","4","否","","","","","","原料：黏土 <minecraft:clay>；工具：{""type"":""farmersdelight:item_ability"",""action"":""shovel_dig""}；工具：#minecraft:shovels",""
"kaleidoscope_cookery","kaleidoscope_cookery:cook_stool_jungle","丛林木厨娘凳","minecraft:crafting_shaped","工作台（有序合成）","丛林木厨娘凳","kaleidoscope_cookery:cook_stool_jungle","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"spawn","spawn:cooked_bluefish","熟扁鲹","minecraft:smelting","熔炉","熟扁鲹","spawn:cooked_bluefish","1","是","6","9.6","","0.35","200","原料：扁鲹 <spawn:bluefish>",""
"farmersdelight","farmersdelight:cutting/cherry_wood","去皮樱花木","farmersdelight:cutting","切菜板","去皮樱花木","minecraft:stripped_cherry_wood","1","否","","","","","","原料：樱花木 <minecraft:cherry_wood>；工具：{""type"":""farmersdelight:item_ability"",""action"":""axe_strip""}；工具：#minecraft:axes",""
"farmersdelight","farmersdelight:honey_glazed_ham_block","蜜汁火腿","minecraft:crafting_shapeless","工作台（无序合成）","蜜汁火腿","farmersdelight:honey_glazed_ham_block","1","否","","","","","","原料：甜浆果 <minecraft:sweet_berries>；原料：蜂蜜瓶 <minecraft:honey_bottle>；原料：甜浆果 <minecraft:sweet_berries>；原料：甜浆果 <minecraft:sweet_berries>；原料：烟熏火腿 <farmersdelight:smoked_ham>；原料：甜浆果 <minecraft:sweet_berries>；原料：米饭 <farmersdelight:cooked_rice>；原料：碗 <minecraft:bowl>；原料：米饭 <farmersdelight:cooked_rice>",""
"farmersdelight","farmersdelight:orange_hanging_canvas_sign","悬挂式橙色粗布告示牌","minecraft:crafting_shapeless","工作台（无序合成）","悬挂式橙色粗布告示牌","farmersdelight:orange_hanging_canvas_sign","1","否","","","","","","原料：#farmersdelight:hanging_canvas_signs；原料：#c:dyes/orange",""
"spawn","spawn:heliostone_wall","日光石墙","minecraft:crafting_shaped","工作台（有序合成）","日光石墙","spawn:heliostone_wall","6","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:cooking/onion_soup","洋葱汤","farmersdelight:cooking","烹饪锅","洋葱汤","farmersdelight:onion_soup","1","是","12","19.2","滋养 3600tick 1级 概率1","","","原料：#c:crops/onion；原料：#c:crops/onion；原料：#c:foods/bread；原料：#c:drinks/milk",""
"spawn","spawn:smooth_blasted_sandstone_stairs","平滑荒砂岩楼梯","minecraft:crafting_shaped","工作台（有序合成）","平滑荒砂岩楼梯","spawn:smooth_blasted_sandstone_stairs","4","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:table_acacia","金合欢木餐桌","minecraft:crafting_shaped","工作台（有序合成）","金合欢木餐桌","kaleidoscope_cookery:table_acacia","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:fried_egg","煎蛋","minecraft:smelting","熔炉","煎蛋","kaleidoscope_cookery:fried_egg","1","是","4","4","","0.35","200","原料：鸡蛋 <minecraft:egg>",""
"spawn","spawn:cut_blasted_sandstone_slab","切制荒砂岩台阶","minecraft:crafting_shaped","工作台（有序合成）","切制荒砂岩台阶","spawn:cut_blasted_sandstone_slab","6","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"spawn","spawn:reefstone_wall","礁石墙","minecraft:crafting_shaped","工作台（有序合成）","礁石墙","spawn:reefstone_wall","6","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:cooking/tomato_sauce","番茄酱","farmersdelight:cooking","烹饪锅","番茄酱","farmersdelight:tomato_sauce","1","是","4","3.2","","","","原料：#c:crops/tomato；原料：#c:crops/tomato",""
"farmersdelight","farmersdelight:fruit_salad","水果沙拉","minecraft:crafting_shapeless","工作台（无序合成）","水果沙拉","farmersdelight:fruit_salad","1","是","6","7.2000003","生命恢复 100tick 1级 概率1","","","原料：苹果 <minecraft:apple>；原料：西瓜片 <minecraft:melon_slice>；原料：西瓜片 <minecraft:melon_slice>；原料：#c:foods/berry；原料：#c:foods/berry；原料：南瓜片 <farmersdelight:pumpkin_slice>；原料：碗 <minecraft:bowl>",""
"farmersdelight","farmersdelight:tomato_seeds","番茄种子","minecraft:crafting_shapeless","工作台（无序合成）","番茄种子","kaleidoscope_cookery:tomato_seed","1","否","","","","","","原料：番茄 <farmersdelight:tomato> / 烂番茄 <farmersdelight:rotten_tomato>",""
"farmersdelight","farmersdelight:cutting/allium","品红色染料","farmersdelight:cutting","切菜板","品红色染料","minecraft:magenta_dye","2","否","","","","","","原料：绒球葱 <minecraft:allium>；工具：{""type"":""farmersdelight:item_ability"",""action"":""knife_dig""}；工具：#c:tools/knife",""
"spawn","spawn:red_dye_from_tropical_wildflowers","红色染料","minecraft:crafting_shapeless","工作台（无序合成）","红色染料","minecraft:red_dye","1","否","","","","","","原料：热带野花 <spawn:tropical_wildflowers>",""
"kaleidoscope_cookery","kaleidoscope_cookery:fish_flavored_shredded_pork_rice_bowl","鱼香肉丝盖饭","kaleidoscope_cookery:rice_bowl","自定义工序（kaleidoscope_cookery:rice_bowl）","鱼香肉丝盖饭","kaleidoscope_cookery:fish_flavored_shredded_pork_rice_bowl","1","是","14","18.004","饱腹代偿 3600tick 1级 概率1","","","原料：鱼香肉丝 <kaleidoscope_cookery:fish_flavored_shredded_pork>",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/orange_dye_from_torchflower","橙色染料","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","橙色染料","minecraft:orange_dye","2","否","","","","","","原料：火把花 <minecraft:torchflower>",""
"farmersdelight","farmersdelight:cooking/fish_stew","鱼肉炖","farmersdelight:cooking","烹饪锅","鱼肉炖","farmersdelight:fish_stew","1","是","12","19.2","滋养 3600tick 1级 概率1","","","原料：#c:foods/safe_raw_fish；原料：番茄酱 <farmersdelight:tomato_sauce>；原料：#c:crops/onion",""
"ordertocook","ordertocook:chef_coin_1_from_5","1 oTc币","minecraft:crafting_shapeless","工作台（无序合成）","1 oTc币","ordertocook:chef_coin_1","5","否","","","","","","原料：5 oTc币 <ordertocook:chef_coin_5>",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/light_gray_dye_from_oxeye_daisy","淡灰色染料","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","淡灰色染料","minecraft:light_gray_dye","2","否","","","","","","原料：滨菊 <minecraft:oxeye_daisy>",""
"farmersdelight","farmersdelight:cutting/pumpkin_pie","南瓜派切片","farmersdelight:cutting","切菜板","南瓜派切片","farmersdelight:pumpkin_pie_slice","4","是","3","1.8000001","迅捷 600tick 1级 概率1","","","原料：南瓜派 <minecraft:pumpkin_pie>；工具：{""type"":""farmersdelight:item_ability"",""action"":""knife_dig""}；工具：#c:tools/knife",""
"spawn","spawn:rotten_door","腐木门","minecraft:crafting_shaped","工作台（有序合成）","腐木门","spawn:rotten_door","3","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:zongzi_plate","一盘粽子","minecraft:crafting_shapeless","工作台（无序合成）","一盘粽子","kaleidoscope_cookery:zongzi_plate","1","否","","","","","","原料：熟粽子 <kaleidoscope_cookery:zongzi>；原料：熟粽子 <kaleidoscope_cookery:zongzi>；原料：熟粽子 <kaleidoscope_cookery:zongzi>；原料：熟粽子 <kaleidoscope_cookery:zongzi>；原料：碗 <minecraft:bowl>",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_pot/sweet_and_sour_ender_pearls","珍珠咕噜肉","kaleidoscope_cookery:flex_pot","自定义工序（kaleidoscope_cookery:flex_pot）","珍珠咕噜肉","kaleidoscope_cookery:sweet_and_sour_ender_pearls","1","是","9","0","胀气 700tick 1级 概率1","","","原料：末影珍珠 <minecraft:ender_pearl>；原料：末影之眼 <minecraft:ender_eye>；容器/载体：碗 <minecraft:bowl>",""
"farmersdelight","farmersdelight:cooking_pot","厨锅","minecraft:crafting_shaped","工作台（有序合成）","厨锅","farmersdelight:cooking_pot","1","否","","","","","","原料：屏障 <minecraft:barrier>",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/raw_iron_from_deepslate_iron_ore","粗铁","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","粗铁","minecraft:raw_iron","3","否","","","","","","原料：深层铁矿石 <minecraft:deepslate_iron_ore>",""
"kaleidoscope_cookery","kaleidoscope_cookery:chopping_board/bone_from_cod","骨头","kaleidoscope_cookery:chopping_board","自定义工序（kaleidoscope_cookery:chopping_board）","骨头","minecraft:bone","2","否","","","","","","原料：熟鳕鱼 <minecraft:cooked_cod>",""
"spawn","spawn:cooking/crab_boil_block","蒸螃蟹","farmersdelight:cooking","烹饪锅","蒸螃蟹","spawn:crab_boil_block","1","否","","","","","","原料：海岸蟹桶 <spawn:coastal_crab_bucket>；原料：马铃薯 <minecraft:potato>；原料：马铃薯 <minecraft:potato>；原料：生培根 <farmersdelight:bacon>；原料：洋葱 <farmersdelight:onion>",""
"farmersdelight","farmersdelight:salvaging/dark_oak_chest_boat","深色橡木船","farmersdelight:cutting","切菜板","深色橡木船","minecraft:dark_oak_boat","1","否","","","","","","原料：深色橡木运输船 <minecraft:dark_oak_chest_boat>；工具：{""type"":""farmersdelight:item_ability"",""action"":""hoe_dig""}；工具：#minecraft:hoes",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/string_from_lime_wool","线","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","线","minecraft:string","3","否","","","","","","原料：黄绿色羊毛 <minecraft:lime_wool>",""
"ordertocook","ordertocook:shelf","包装架","minecraft:crafting_shaped","工作台（有序合成）","包装架","ordertocook:shelf","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"spawn","spawn:blasted_sandstone_wall","荒砂岩墙","minecraft:crafting_shaped","工作台（有序合成）","荒砂岩墙","spawn:blasted_sandstone_wall","6","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:melon_juice","西瓜汁","minecraft:crafting_shapeless","工作台（无序合成）","西瓜汁","farmersdelight:melon_juice","1","否","","","","","","原料：西瓜片 <minecraft:melon_slice>；原料：西瓜片 <minecraft:melon_slice>；原料：糖 <minecraft:sugar>；原料：西瓜片 <minecraft:melon_slice>；原料：西瓜片 <minecraft:melon_slice>；原料：玻璃瓶 <minecraft:glass_bottle>",""
"farmersdelight","farmersdelight:cutting/red_tulip","红色染料","farmersdelight:cutting","切菜板","红色染料","minecraft:red_dye","2","否","","","","","","原料：红色郁金香 <minecraft:red_tulip>；工具：{""type"":""farmersdelight:item_ability"",""action"":""knife_dig""}；工具：#c:tools/knife",""
"kaleidoscope_cookery","kaleidoscope_cookery:tundra_style_sashimi","苔原风味刺身","minecraft:crafting_shapeless","工作台（无序合成）","苔原风味刺身","kaleidoscope_cookery:tundra_style_sashimi","1","是","16","6","芥末 6000tick 1级 概率1","","","原料：#minecraft:flowers；原料：#minecraft:flowers；原料：刺身 <kaleidoscope_cookery:sashimi>；原料：刺身 <kaleidoscope_cookery:sashimi>；原料：刺身 <kaleidoscope_cookery:sashimi>；原料：刺身 <kaleidoscope_cookery:sashimi>；原料：碗 <minecraft:bowl>",""
"farmersdelight","farmersdelight:cutting/spruce_wood","去皮云杉木","farmersdelight:cutting","切菜板","去皮云杉木","minecraft:stripped_spruce_wood","1","否","","","","","","原料：云杉木 <minecraft:spruce_wood>；工具：{""type"":""farmersdelight:item_ability"",""action"":""axe_strip""}；工具：#minecraft:axes",""
"farmersdelight","farmersdelight:cutting/crimson_hyphae","去皮绯红菌核","farmersdelight:cutting","切菜板","去皮绯红菌核","minecraft:stripped_crimson_hyphae","1","否","","","","","","原料：绯红菌核 <minecraft:crimson_hyphae>；工具：{""type"":""farmersdelight:item_ability"",""action"":""axe_strip""}；工具：#minecraft:axes",""
"spawn","spawn:chiseled_blasted_sandstone_from_blasted_sandstone_stonecutting","雕纹荒砂岩","minecraft:stonecutting","自定义工序（minecraft:stonecutting）","雕纹荒砂岩","spawn:chiseled_blasted_sandstone","1","否","","","","","","原料：荒砂岩 <spawn:blasted_sandstone>",""
"kaleidoscope_cookery","kaleidoscope_cookery:straw_hat_flower","缀花草帽","minecraft:crafting_shaped","工作台（有序合成）","缀花草帽","kaleidoscope_cookery:straw_hat_flower","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:cooking/pasta_with_meatballs","肉丸意面","farmersdelight:cooking","烹饪锅","肉丸意面","farmersdelight:pasta_with_meatballs","1","是","12","19.2","滋养 3600tick 1级 概率1","","","原料：牛肉馅 <farmersdelight:minced_beef>；原料：#c:foods/pasta；原料：番茄酱 <farmersdelight:tomato_sauce>",""
"kaleidoscope_cookery","kaleidoscope_cookery:chair_crimson","绯红木椅子","minecraft:crafting_shaped","工作台（有序合成）","绯红木椅子","kaleidoscope_cookery:chair_crimson","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:light_blue_canvas_sign","淡蓝色粗布告示牌","minecraft:crafting_shapeless","工作台（无序合成）","淡蓝色粗布告示牌","farmersdelight:light_blue_canvas_sign","1","否","","","","","","原料：#farmersdelight:canvas_signs；原料：#c:dyes/light_blue",""
"kaleidoscope_cookery","kaleidoscope_cookery:oil","油脂","minecraft:crafting_shapeless","工作台（无序合成）","油脂","kaleidoscope_cookery:oil","9","否","","","","","","原料：油脂块 <kaleidoscope_cookery:oil_block>",""
"kaleidoscope_cookery","kaleidoscope_cookery:fruit_basket","果篮","minecraft:crafting_shaped","工作台（有序合成）","果篮","kaleidoscope_cookery:fruit_basket","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"spawn","spawn:cooked_herring_slice_from_smoking","熟鲱鱼片","minecraft:smoking","烟熏炉","熟鲱鱼片","spawn:cooked_herring_slice","1","是","2","1.2","","0.35","100","原料：鲱鱼片 <spawn:herring_slice>",""
"ordertocook","ordertocook:chef_coin_20_from_100","20 oTc币","minecraft:crafting_shapeless","工作台（无序合成）","20 oTc币","ordertocook:chef_coin_20","5","否","","","","","","原料：100 oTc币 <ordertocook:chef_coin_100>",""
"spawn","spawn:rotten_trapdoor","腐木活版门","minecraft:crafting_shaped","工作台（有序合成）","腐木活版门","spawn:rotten_trapdoor","2","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:cook_stool_birch","白桦木厨娘凳","minecraft:crafting_shaped","工作台（有序合成）","白桦木厨娘凳","kaleidoscope_cookery:cook_stool_birch","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"spawn","spawn:date_slab","椰枣木台阶","minecraft:crafting_shaped","工作台（有序合成）","椰枣木台阶","spawn:date_slab","6","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/smooth_red_sandstone_from_red_sand","平滑红砂岩","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","平滑红砂岩","minecraft:smooth_red_sandstone","1","否","","","","","","原料：#c:sands/red",""
"ordertocook","ordertocook:clean_plate","空盘","minecraft:crafting_shaped","工作台（有序合成）","空盘","ordertocook:clean_plate","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:salvaging/quartz_block","下界石英","farmersdelight:cutting","切菜板","下界石英","minecraft:quartz","4","否","","","","","","原料：石英块 <minecraft:quartz_block>；工具：{""type"":""farmersdelight:item_ability"",""action"":""pickaxe_dig""}；工具：#minecraft:pickaxes",""
"kaleidoscope_cookery","kaleidoscope_cookery:enamel_basin","搪瓷盆子","minecraft:crafting_shaped","工作台（有序合成）","搪瓷盆子","kaleidoscope_cookery:enamel_basin","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/pink_dye_from_pink_tulip","粉红色染料","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","粉红色染料","minecraft:pink_dye","2","否","","","","","","原料：粉红色郁金香 <minecraft:pink_tulip>",""
"kaleidoscope_cookery","kaleidoscope_cookery:chopping_board/sashimi_from_cod","刺身","kaleidoscope_cookery:chopping_board","自定义工序（kaleidoscope_cookery:chopping_board）","刺身","kaleidoscope_cookery:sashimi","2","是","1","1","","","","原料：生鳕鱼 <minecraft:cod>",""
"kaleidoscope_cookery","kaleidoscope_cookery:straw_hat","草帽","minecraft:crafting_shaped","工作台（有序合成）","草帽","kaleidoscope_cookery:straw_hat","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:cutting/cooked_salmon","熟鲑鱼片","farmersdelight:cutting","切菜板","熟鲑鱼片","farmersdelight:cooked_salmon_slice","2","是","3","4.8","","","","原料：熟鲑鱼 <minecraft:cooked_salmon>；工具：{""type"":""farmersdelight:item_ability"",""action"":""knife_dig""}；工具：#c:tools/knife",""
"spawn","spawn:blasted_sandstone_stairs_from_blasted_sandstone_stonecutting","荒砂岩楼梯","minecraft:stonecutting","自定义工序（minecraft:stonecutting）","荒砂岩楼梯","spawn:blasted_sandstone_stairs","1","否","","","","","","原料：荒砂岩 <spawn:blasted_sandstone>",""
"spawn","spawn:smooth_blasted_sandstone_slab_from_smooth_blasted_sandstone_stonecutting","平滑荒砂岩台阶","minecraft:stonecutting","自定义工序（minecraft:stonecutting）","平滑荒砂岩台阶","spawn:smooth_blasted_sandstone_slab","2","否","","","","","","原料：平滑荒砂岩 <spawn:smooth_blasted_sandstone>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/seafood_miso_soup_tropical_entity","海鲜味噌汤","kaleidoscope_cookery:stockpot","万花筒汤锅","海鲜味噌汤","kaleidoscope_cookery:seafood_miso_soup","1","是","6","8.004","水下呼吸 9600tick 1级 概率1","","","原料：#c:crops/lettuce；原料：#c:crops/lettuce；原料：#c:crops/lettuce",""
"kaleidoscope_cookery","kaleidoscope_cookery:tomato_platter","番茄拼盘","minecraft:crafting_shapeless","工作台（无序合成）","番茄拼盘","kaleidoscope_cookery:tomato_platter","1","否","","","","","","原料：番茄 <kaleidoscope_cookery:tomato>；原料：番茄 <kaleidoscope_cookery:tomato>；原料：番茄 <kaleidoscope_cookery:tomato>；原料：番茄 <kaleidoscope_cookery:tomato>；原料：番茄 <kaleidoscope_cookery:tomato>；原料：碗 <minecraft:bowl>",""
"spawn","spawn:cooked_tuna_slice_from_campfire_cooking","熟金枪鱼片","minecraft:campfire_cooking","营火","熟金枪鱼片","spawn:cooked_tuna_slice","1","是","4","4","","0.35","600","原料：金枪鱼片 <spawn:tuna_slice>",""
"farmersdelight","farmersdelight:mangrove_cabinet","红树木橱柜","minecraft:crafting_shaped","工作台（有序合成）","红树木橱柜","farmersdelight:mangrove_cabinet","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:oil_pot","油壶","minecraft:crafting_shaped","工作台（有序合成）","油壶","kaleidoscope_cookery:oil_pot","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"spawn","spawn:date_trapdoor","椰枣木活版门","minecraft:crafting_shaped","工作台（有序合成）","椰枣木活版门","spawn:date_trapdoor","2","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:raw_zongzi","生粽子","minecraft:crafting_shapeless","工作台（无序合成）","生粽子","kaleidoscope_cookery:raw_zongzi","1","否","","","","","","原料：稻米 <kaleidoscope_cookery:rice>；原料：睡莲 <minecraft:lily_pad>",""
"farmersdelight","farmersdelight:diamond_knife","钻石刀","minecraft:crafting_shaped","工作台（有序合成）","钻石刀","farmersdelight:diamond_knife","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:yellow_hanging_canvas_sign","悬挂式黄色粗布告示牌","minecraft:crafting_shapeless","工作台（无序合成）","悬挂式黄色粗布告示牌","farmersdelight:yellow_hanging_canvas_sign","1","否","","","","","","原料：#farmersdelight:hanging_canvas_signs；原料：#c:dyes/yellow",""
"kaleidoscope_cookery","kaleidoscope_cookery:steamer/bamboo_tube_rice","熟竹筒饭","kaleidoscope_cookery:steamer","万花筒蒸笼","熟竹筒饭","kaleidoscope_cookery:bamboo_tube_rice","1","是","10","10","","","","原料：生竹筒饭 <kaleidoscope_cookery:raw_bamboo_tube_rice>",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/blue_dye_from_cornflower","蓝色染料","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","蓝色染料","minecraft:blue_dye","2","否","","","","","","原料：矢车菊 <minecraft:cornflower>",""
"farmersdelight","farmersdelight:cooked_bacon","熟培根","minecraft:smelting","熔炉","熟培根","farmersdelight:cooked_bacon","1","是","4","6.4","","0.35","200","原料：生培根 <farmersdelight:bacon>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/fondant_spider_eye","翻糖蛛眼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","翻糖蛛眼","kaleidoscope_cookery:fondant_spider_eye","1","是","8","0","胀气 700tick 1级 概率1","","","原料：糖 <minecraft:sugar>；原料：糖 <minecraft:sugar>；原料：糖 <minecraft:sugar>；原料：糖 <minecraft:sugar>；原料：蜘蛛眼 <minecraft:spider_eye>；原料：蜘蛛眼 <minecraft:spider_eye>；原料：蜘蛛眼 <minecraft:spider_eye>；原料：蜘蛛眼 <minecraft:spider_eye>；容器/载体：碗 <minecraft:bowl>",""
"kaleidoscope_cookery","kaleidoscope_cookery:table_cherry","樱花木餐桌","minecraft:crafting_shaped","工作台（有序合成）","樱花木餐桌","kaleidoscope_cookery:table_cherry","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_stockpot/pufferfish_soup","河豚汤","kaleidoscope_cookery:flex_stockpot","自定义工序（kaleidoscope_cookery:flex_stockpot）","河豚汤","kaleidoscope_cookery:pufferfish_soup","1","是","4","0","芥末 12000tick 1级 概率1","","","原料：河豚 <minecraft:pufferfish>；原料：#c:crops/lettuce",""
